date_time,magnitude,depth,latitude,longitude,sig,tsunami
11/2/2002 1:26,7.4,30,2.824,96.085,842,0
11/3/2002 22:12,7.9,4.2,63.5141,-147.453,1750,0
12/12/2002 8:30,6.7,34,-4.786,153.275,691,0
1/10/2003 13:11,6.7,71.9,-5.311,153.701,691,0
1/20/2003 8:43,7.3,33,-10.491,160.77,820,0
1/21/2003 2:46,6.5,24,13.626,-90.774,650,0
1/22/2003 2:06,7.6,24,18.77,-104.104,889,0
3/11/2003 7:27,6.8,40.2,-4.694,153.238,711,0
3/25/2003 2:53,6.5,33,-8.294,120.743,650,0
5/21/2003 18:44,6.8,12,36.964,3.634,711,0
5/26/2003 9:24,7,68,38.849,141.568,754,0
5/26/2003 19:23,7,31,2.354,128.855,754,0
6/7/2003 0:32,6.6,33,-5.095,152.502,670,0
6/16/2003 22:08,6.9,174.8,55.492,159.999,732,0
6/20/2003 13:30,6.8,33,-30.608,-71.637,711,0
7/15/2003 18:46,6.5,33,-3.828,152.174,650,0
8/4/2003 4:37,7.6,10,-60.532,-43.411,889,0
8/21/2003 12:12,7.2,28,-45.104,167.144,798,0
9/21/2003 18:16,6.6,10,19.917,95.672,670,0
9/25/2003 19:50,8.16,27,41.815,143.91,1024,0
9/25/2003 21:08,7.4,33,41.774,143.593,842,0
9/27/2003 11:33,7.3,16,50.038,87.813,820,0
9/29/2003 2:36,6.5,25,42.45,144.38,650,0
10/1/2003 1:03,6.7,10,50.211,87.721,691,0
10/8/2003 9:06,6.7,32,42.648,144.57,691,0
10/31/2003 1:06,7,10,37.812,142.619,754,0
11/6/2003 10:38,6.6,113.7,-19.262,168.892,670,0
11/18/2003 17:14,6.5,35,12.025,125.416,650,0
11/25/2003 20:19,6.6,35,-5.581,150.88,670,0
12/10/2003 4:38,6.8,10,23.039,121.362,711,0
12/22/2003 19:15,6.5,8.382,35.7005,-121.101,1390,0
12/25/2003 7:11,6.5,33,8.416,-82.824,650,0
12/26/2003 1:56,6.6,10,28.995,58.311,670,0
12/27/2003 16:00,7.3,10,-22.015,169.766,820,0
1/28/2004 22:15,6.7,17.4,-3.12,127.4,691,0
2/5/2004 21:05,7,16.6,-3.615,135.538,754,0
2/7/2004 2:42,7.3,10,-4.003,135.023,820,0
2/8/2004 8:58,6.7,25.7,-3.665,135.339,691,0
4/5/2004 21:24,6.6,187.1,36.512,71.029,670,0
4/9/2004 15:23,6.5,228.4,-13.174,167.198,650,0
4/23/2004 1:50,6.7,65.8,-9.362,122.839,691,0
5/3/2004 4:36,6.6,21,-37.695,-73.406,670,0
6/10/2004 15:19,6.9,188.6,55.682,160.003,732,0
7/28/2004 3:56,6.5,13.4,-0.443,133.091,650,0
8/28/2004 13:41,6.5,5,-35.173,-70.525,650,0
9/5/2004 10:07,7.2,14,33.07,136.618,798,0
9/5/2004 14:57,7.4,10,33.184,137.071,842,0
9/6/2004 23:29,6.6,10,33.205,137.227,670,0
10/8/2004 8:27,6.8,36,-10.951,162.161,711,0
10/8/2004 14:36,6.5,105,13.925,120.534,665,0
10/9/2004 21:26,7,35,11.422,-86.665,754,0
10/15/2004 4:08,6.7,94,24.53,122.694,705,0
10/23/2004 8:56,6.6,16,37.226,138.779,670,0
11/2/2004 10:02,6.7,10,49.277,-128.772,703,0
11/11/2004 17:34,6.7,10,-11.128,162.208,691,0
11/11/2004 21:26,7.5,10,-8.152,124.868,870,0
11/15/2004 9:06,7.2,15,4.695,-77.508,820,0
11/22/2004 20:26,7.1,10,-46.676,164.721,782,0
11/26/2004 2:25,7.1,10,-3.609,135.404,776,0
11/28/2004 18:32,7,39,43.006,145.119,771,0
12/6/2004 14:15,6.8,35,42.9,145.228,724,0
12/14/2004 23:20,6.8,10,18.958,-81.409,858,0
12/23/2004 14:59,8.1,10,-49.312,161.345,1009,0
12/26/2004 0:58,9.1,30,3.295,95.982,1274,0
12/26/2004 4:21,7.2,39.2,6.91,92.958,802,0
12/26/2004 9:20,6.6,16.1,8.879,92.375,670,0
1/19/2005 6:11,6.6,27.8,34.064,141.491,676,0
2/5/2005 12:23,7.1,525,5.293,123.337,782,0
2/8/2005 14:48,6.7,206.3,-14.252,167.259,691,0
2/15/2005 14:42,6.5,39.7,4.756,126.421,652,0
